,date,hospitalized
0,2020-03-21,0.0
1,2020-03-22,0.0
2,2020-03-23,0.0
3,2020-03-24,0.0
4,2020-03-25,0.0
5,2020-03-26,0.0
6,2020-03-27,0.0
7,2020-03-28,0.0
8,2020-03-29,0.0
9,2020-03-30,0.0
10,2020-03-31,0.0
11,2020-04-01,0.0
12,2020-04-02,0.0
13,2020-04-03,0.0
14,2020-04-04,0.0
15,2020-04-05,0.0
16,2020-04-06,0.0
17,2020-04-07,2788.0
18,2020-04-08,2986.0
19,2020-04-09,2943.0
20,2020-04-10,2848.0
21,2020-04-11,2900.0
22,2020-04-12,2932.0
23,2020-04-13,3094.0
24,2020-04-14,3232.0
25,2020-04-15,3175.0
26,2020-04-16,3258.0
27,2020-04-17,3148.0
28,2020-04-18,3118.0
29,2020-04-19,3360.0
30,2020-04-20,3550.0
31,2020-04-21,3445.0
32,2020-04-22,3609.0
33,2020-04-23,3603.0
34,2020-04-24,3455.0
35,2020-04-25,3328.0
36,2020-04-26,3423.0
37,2020-04-27,3493.0
38,2020-04-28,3746.0
39,2020-04-29,3664.0
40,2020-04-30,3637.0
41,2020-05-01,3467.0
42,2020-05-02,3469.0
43,2020-05-03,3261.0
44,2020-05-04,3514.0
45,2020-05-05,3601.0
46,2020-05-06,3609.0
47,2020-05-07,3528.0
48,2020-05-08,3524.0
49,2020-05-09,3061.0
50,2020-05-10,3071.0
51,2020-05-11,3411.0
52,2020-05-12,3355.0
53,2020-05-13,3341.0
54,2020-05-14,3238.0
55,2020-05-15,3171.0
56,2020-05-16,3046.0
57,2020-05-17,3024.0
58,2020-05-18,3009.0
59,2020-05-19,2909.0
60,2020-05-20,3019.0
61,2020-05-21,2868.0
62,2020-05-22,2726.0
63,2020-05-23,2660.0
64,2020-05-24,2738.0
65,2020-05-25,2753.0
66,2020-05-26,2795.0
67,2020-05-27,2640.0
68,2020-05-28,2619.0
69,2020-05-29,2411.0
70,2020-05-30,2355.0
71,2020-05-31,2313.0
72,2020-06-01,2364.0
73,2020-06-02,2329.0
74,2020-06-03,2191.0
75,2020-06-04,2094.0
76,2020-06-05,1932.0
77,2020-06-06,1830.0
78,2020-06-07,1783.0
79,2020-06-08,1847.0
80,2020-06-09,1752.0
81,2020-06-10,1727.0
82,2020-06-11,1561.0
83,2020-06-12,1507.0
84,2020-06-13,1352.0
85,2020-06-14,1392.0
86,2020-06-15,1378.0
87,2020-06-16,1315.0
88,2020-06-17,1340.0
89,2020-06-18,1325.0
90,2020-06-19,1242.0
91,2020-06-20,1209.0
92,2020-06-21,1209.0
93,2020-06-22,1224.0
94,2020-06-23,1225.0
95,2020-06-24,1227.0
96,2020-06-25,1116.0
97,2020-06-26,1119.0
98,2020-06-27,1091.0
99,2020-06-28,1129.0
100,2020-06-29,1159.0
101,2020-06-30,1127.0
102,2020-07-01,1302.0
103,2020-07-02,1015.0
