,date,hospitalized
0,2020-01-27,0.0
1,2020-01-28,0.0
2,2020-01-29,0.0
3,2020-01-30,0.0
4,2020-01-31,0.0
5,2020-02-01,0.0
6,2020-02-02,0.0
7,2020-02-03,0.0
8,2020-02-04,0.0
9,2020-02-05,0.0
10,2020-02-06,0.0
11,2020-02-07,0.0
12,2020-02-08,0.0
13,2020-02-09,0.0
14,2020-02-10,0.0
15,2020-02-11,0.0
16,2020-02-12,0.0
17,2020-02-13,0.0
18,2020-02-14,0.0
19,2020-02-15,0.0
20,2020-02-16,0.0
21,2020-02-17,0.0
22,2020-02-18,0.0
23,2020-02-19,0.0
24,2020-02-20,0.0
25,2020-02-21,0.0
26,2020-02-22,0.0
27,2020-02-23,0.0
28,2020-02-24,0.0
29,2020-02-25,0.0
30,2020-02-26,0.0
31,2020-02-27,0.0
32,2020-02-28,0.0
33,2020-02-29,5.64375
34,2020-03-01,0.0
35,2020-03-02,5.64375
36,2020-03-03,5.64375
37,2020-03-04,50.793749999999996
38,2020-03-05,45.15
39,2020-03-06,50.793749999999996
40,2020-03-07,62.08125
41,2020-03-08,67.725
42,2020-03-09,95.94375
43,2020-03-10,129.80625
44,2020-03-11,163.66875
45,2020-03-12,174.95624999999998
46,2020-03-13,208.81875
47,2020-03-14,242.68125
48,2020-03-15,242.68125
49,2020-03-16,231.39374999999998
50,2020-03-17,225.75
51,2020-03-18,231.39374999999998
52,2020-03-19,259.6125
53,2020-03-20,276.54375
54,2020-03-21,270.9
55,2020-03-22,293.47499999999997
56,2020-03-23,293.47499999999997
57,2020-03-24,332.98125
58,2020-03-25,355.55625
59,2020-03-26,355.55625
60,2020-03-27,361.2
61,2020-03-28,400.70625
62,2020-03-29,474.075
63,2020-03-30,485.3625
64,2020-03-31,530.5124999999999
65,2020-04-01,598.2375
66,2020-04-02,615.1687499999999
67,2020-04-03,643.3874999999999
68,2020-04-04,643.3874999999999
69,2020-04-05,643.3874999999999
70,2020-04-06,682.89375
71,2020-04-07,744.975
72,2020-04-08,750.61875
73,2020-04-09,818.34375
74,2020-04-10,852.20625
75,2020-04-11,880.425
0,2020-04-12,811.3
1,2020-04-13,832.3
2,2020-04-14,829.5
3,2020-04-15,873.5999999999998
4,2020-04-16,837.1999999999998
5,2020-04-17,834.4
6,2020-04-18,837.1999999999998
7,2020-04-19,867.3
8,2020-04-20,858.1999999999998
9,2020-04-21,854.0
10,2020-04-22,887.5999999999998
11,2020-04-23,857.5
12,2020-04-24,870.8
13,2020-04-25,886.9
14,2020-04-26,874.3
15,2020-04-27,871.5
16,2020-04-28,903.0
17,2020-04-29,902.3
18,2020-04-30,884.0999999999998
19,2020-05-01,875.0
20,2020-05-02,862.4
21,2020-05-03,862.4
22,2020-05-04,886.1999999999998
23,2020-05-05,861.6999999999998
24,2020-05-06,877.0999999999998
25,2020-05-07,874.3
26,2020-05-08,854.0
27,2020-05-09,870.8
28,2020-05-10,884.0999999999998
29,2020-05-11,850.5
30,2020-05-12,845.5999999999998
31,2020-05-13,792.4
32,2020-05-14,790.3
33,2020-05-15,794.5
34,2020-05-16,825.3
35,2020-05-17,785.4
