,date,hospitalized
0,2020-03-21,0.0
1,2020-03-22,0.0
2,2020-03-23,0.0
3,2020-03-24,0.0
4,2020-03-25,0.0
5,2020-03-26,0.0
6,2020-03-27,0.0
7,2020-03-28,0.0
8,2020-03-29,0.0
9,2020-03-30,0.0
10,2020-03-31,0.0
11,2020-04-01,0.0
12,2020-04-02,0.0
13,2020-04-03,0.0
14,2020-04-04,0.0
15,2020-04-05,0.0
16,2020-04-06,0.0
17,2020-04-07,25.0
18,2020-04-08,21.0
19,2020-04-09,10.0
20,2020-04-10,13.0
21,2020-04-11,18.0
22,2020-04-12,17.0
23,2020-04-13,12.0
24,2020-04-14,30.0
25,2020-04-15,23.0
26,2020-04-16,10.0
27,2020-04-17,21.0
28,2020-04-18,20.0
29,2020-04-19,25.0
30,2020-04-20,28.0
31,2020-04-21,29.0
32,2020-04-22,38.0
33,2020-04-23,43.0
34,2020-04-24,28.0
35,2020-04-25,28.0
36,2020-04-26,34.0
37,2020-04-27,28.0
38,2020-04-28,35.0
39,2020-04-29,34.0
40,2020-04-30,33.0
41,2020-05-01,20.0
42,2020-05-02,22.0
43,2020-05-03,15.0
44,2020-05-04,32.0
45,2020-05-05,33.0
46,2020-05-06,32.0
47,2020-05-07,22.0
48,2020-05-08,25.0
49,2020-05-09,28.0
50,2020-05-10,26.0
51,2020-05-11,28.0
52,2020-05-12,18.0
53,2020-05-13,15.0
54,2020-05-14,16.0
55,2020-05-15,15.0
56,2020-05-16,8.0
57,2020-05-17,15.0
58,2020-05-18,22.0
59,2020-05-19,17.0
60,2020-05-20,6.0
61,2020-05-21,14.0
62,2020-05-22,21.0
63,2020-05-23,26.0
64,2020-05-24,17.0
65,2020-05-25,13.0
66,2020-05-26,15.0
67,2020-05-27,16.0
68,2020-05-28,10.0
69,2020-05-29,9.0
70,2020-05-30,11.0
71,2020-05-31,14.0
72,2020-06-01,18.0
73,2020-06-02,11.0
74,2020-06-03,15.0
75,2020-06-04,12.0
76,2020-06-05,16.0
77,2020-06-06,15.0
78,2020-06-07,11.0
79,2020-06-08,18.0
80,2020-06-09,15.0
81,2020-06-10,16.0
82,2020-06-11,10.0
83,2020-06-12,10.0
84,2020-06-13,12.0
85,2020-06-14,12.0
86,2020-06-15,8.0
87,2020-06-16,5.0
88,2020-06-17,8.0
89,2020-06-18,13.0
90,2020-06-19,12.0
91,2020-06-20,5.0
92,2020-06-21,17.0
93,2020-06-22,17.0
94,2020-06-23,12.0
95,2020-06-24,17.0
96,2020-06-25,10.0
97,2020-06-26,11.0
98,2020-06-27,6.0
99,2020-06-28,9.0
100,2020-06-29,10.0
101,2020-06-30,14.0
102,2020-07-01,11.0
103,2020-07-02,9.0
104,2020-07-03,6.0
105,2020-07-04,6.0
106,2020-07-05,10.0
107,2020-07-06,20.0
108,2020-07-07,16.0
109,2020-07-08,22.0
110,2020-07-09,11.0
